age,city,job_title,seniority_level,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,salary_norm,job_category,z_score,modif_z_score
33.0,berlin,software engineer,senior,english,1000+,product,140504.93891598118,2020,de,12,с#,"python, c/c++, javascript / typescript, .net, sql",full-time employee,5,,,,,it,3.0117021181056134,Software Engineer,1.2650969818685955,3.2510900000000027
30.0,berlin,software engineer,senior,english,1000+,product,101501.13282079808,2020,de,6,java,"kotlin, aws, kubernetes, docker",full-time employee,3,,,,,it,2.175661432722399,Software Engineer,0.15229608746302795,0.9443000000000003
48.0,berlin,software engineer,senior,english,101-1000,product,85534.6624894366,2020,de,25,java,"kotlin, java / scala, sql",full-time employee,11,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
28.0,berlin,designer (ui/ux),senior,english,1000+,product,68427.72999154928,2020,de,5,,,full-time employee,1,,,,,it,1.4667380445319547,UI/UX Designers,-0.7913070101323357,1.011750000000001
32.0,berlin,backend developer,medior,english,101-1000,product,87815.58682248823,2020,de,3,java,"aws, kubernetes, docker",full-time employee,1,,,,,it,1.8823138238160082,Back End,0.304708388500817,0.9742777777777778
38.0,berlin,backend developer,senior,english,1000+,product,88956.04898901406,2020,de,12,,c/c++,full-time employee,6,,,,,it,1.906759457891541,Back End,-0.20562232886624773,0.2023500000000002
31.0,berlin,software engineer,executive,english,101-1000,startup,98079.74632122062,2020,de,7,python,"python, sql, google cloud, kubernetes, docker",full-time employee,3,,,,,it,2.1023245304958014,Software Engineer,-0.510731806972734,0.4047
35.0,berlin,backend developer,senior,english,101-1000,product,85534.6624894366,2020,de,10,ruby,"go, aws, kubernetes, docker, elixir",full-time employee,7,,,,,it,1.8334225556649433,Back End,-0.3032364424105957,0.0
28.0,berlin,designer (ui/ux),medior,german,1000+,product,51320.79749366196,2020,de,7,figma,,full-time employee,7,,,,,it,1.1000535333989658,UI/UX Designers,-0.8828964268490263,1.4239444444444445
29.0,berlin,qa engineer,senior,english,51-100,startup,68427.72999154928,2020,de,8,,,full-time employee,5,,,,,it,1.4667380445319547,QA/Test Engineers,-0.7913070101323357,1.011750000000001
32.0,berlin,backend developer,senior,english,11-50,product,74130.04082417837,2020,de,8,php,"php, sql, aws, kubernetes, docker",full-time employee,5,,,,,it,1.5889662149096173,Back End,-0.628616820891756,0.6745000000000012
44.0,berlin,backend developer,senior,english,11-50,product,77551.42732375584,2020,de,12,java,"sql, go, kubernetes, docker",full-time employee,3,,,,,it,1.662303117136215,Back End,-0.5310027073474081,0.472150000000001
,berlin,software engineer,senior,english,,,85534.6624894366,2020,de,,php,,full-time employee,1,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
35.0,munich,software engineer,senior,german,101-1000,product,79832.35165680748,2020,de,11,php,"javascript / typescript, aws, kubernetes, docker",full-time employee,3,,,,,it,1.7111943852872802,Software Engineer,-0.46592663165117604,0.33725000000000094
33.0,munich,devops,executive,,101-1000,product,114046.21665258212,2020,de,15,kubernetes,"aws, google cloud, azure, docker",full-time employee,4,,,,,it,2.4445634075532574,DevOps Engineer,-0.20541602317422925,0.22483333333333333
29.0,berlin,software engineer,senior,english,101-1000,product,85534.6624894366,2020,de,5,go,"java / scala, aws, docker",full-time employee,3,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
66.0,munich,software engineer,executive,german,51-100,product,79832.35165680748,2020,de,40,ruby on rails,"javascript / typescript, ruby, sql",full-time employee,4,,,,,it,1.7111943852872802,Software Engineer,-0.8596641313138823,1.1241666666666668
39.0,berlin,software engineer,senior,german,101-1000,consulting / agency,81543.04490659622,2020,de,10,java,"javascript / typescript, sql",full-time employee,10,,,,,it,1.747862836400579,Software Engineer,-0.41711957487900203,0.2360750000000008
28.0,munich,backend developer,senior,english,101-1000,product,82113.27598985913,2020,de,5,kotlin,"kotlin, javascript / typescript, java / scala, sql, aws, google cloud, kubernetes, docker",full-time employee,4,,,,,it,1.7600856534383456,Back End,-0.40085055595494373,0.2023500000000002
34.0,munich,frontend developer,senior,english,11-50,product,83823.96923964786,2020,de,5,javascript/es6,,full-time employee,5,,,,,it,1.7967541045516444,Front End,-0.3520434991827697,0.1011750000000001
34.0,munich,software engineer,executive,english,51-100,product,164226.55197971826,2020,de,13,.net,".net, sql",full-time employee,3,,,,,it,3.520171306876691,Software Engineer,0.754147868763929,2.203366666666667
32.0,munich,frontend developer,senior,german,101-1000,consulting / agency,70708.65432460091,2020,de,7,javascript,"javascript / typescript, java / scala",full-time employee,5,,,,,it,1.5156293126830196,Front End,-0.726230934436104,0.8768500000000014
38.0,stuttgart,hardware engineer,executive,english,1000+,product,94658.35982164316,2020,de,15,hardware,,full-time employee,5,,,,,it,2.0289876282692036,Hardware,-0.5761566177866994,0.5396
32.0,berlin,data scientist,executive,english,1000+,consulting / agency,159664.70331361497,2020,de,10,,,full-time employee,10,,,,,it,3.4223887705745604,Data Scientist/ ML Engineer,0.6669147876786415,2.0235
45.0,schleswig-holstein,software engineer,senior,german,1000+,product,117467.60315215959,2020,de,26,c#,"c/c++, .net, sql",full-time employee,18,,,,,it,2.517900309779855,Software Engineer,0.6078286173366519,1.8886000000000012
28.0,berlin,software engineer,medior,english,11-50,startup,62725.419158920166,2020,de,3,js,"javascript / typescript, sql, aws, google cloud, kubernetes, docker, quorum",full-time employee,2,,,,,it,1.3445098741542916,Software Engineer,-0.5117699220522003,0.6745
29.0,konstanz area,mobile developer,medior,english,11-50,startup,60444.494825868525,2020,de,6,android,kotlin,full-time employee,3,,,,,it,1.2956186060032264,Mobile,-0.5859952230115655,0.824388888888889
36.0,munich,backend developer,senior,english,1000+,product,62725.419158920166,2020,de,15,java,php,full-time employee,3,,,,,it,1.3445098741542916,Back End,-0.9539971993729159,1.3490000000000018
39.0,berlin,software engineer,senior,german,1000+,consulting / agency,85534.6624894366,2020,de,10,c#,"javascript / typescript, .net, sql, azure, docker",full-time employee,2,,,,,it,1.8334225556649433,Software Engineer,-0.3032364424105957,0.0
29.0,munich,software engineer,senior,english,1000+,product,96939.2841546948,2020,de,7,javascript ,"kotlin, javascript / typescript, java / scala, docker",full-time employee,3,,,,,it,2.077878896420269,Software Engineer,0.022143936070563953,0.6745
31.0,berlin,engineering manager,executive,english,101-1000,startup,91236.97332206569,2020,de,11,java,"python, java / scala, sql, go, aws, google cloud, kubernetes, docker",full-time employee,6,,,,,it,1.955650726042606,Other managers,-0.6415814286006646,0.6745
30.0,berlin,backend developer,medior,english,1000+,product,62725.419158920166,2020,de,5,java,,full-time employee,5,,,,,it,1.3445098741542916,Back End,-0.5117699220522003,0.6745
30.0,munich,devops,medior,english,1000+,product,165595.10657954923,2020,de,8,,,full-time employee,2,,,,,it,3.5495060677673296,DevOps Engineer,2.83579115121517,6.085488888888888
33.0,frankfurt,software engineer,medior,english,11-50,consulting / agency,57023.10832629106,2020,de,4,java,,full-time employee,0,,,,,it,1.2222817037766287,Software Engineer,-0.6973331744506133,1.0492222222222223
27.0,berlin,software engineer,senior,english,1000+,startup,88956.04898901406,2020,de,5,scala,java / scala,full-time employee,1,,,,,it,1.906759457891541,Software Engineer,-0.20562232886624773,0.2023500000000002
26.0,munich,data scientist,medior,english,1000+,product,79832.35165680748,2020,de,6,python,"python, c/c++, sql, docker",full-time employee,2,,,,,it,1.7111943852872802,Data Scientist/ ML Engineer,0.044919835143038794,0.44966666666666666
26.0,berlin,software engineer,executive,english,1000+,product,96939.2841546948,2020,de,8,go,"python, php, javascript / typescript, go, google cloud, kubernetes, docker",full-time employee,3,,,,,it,2.077878896420269,Software Engineer,-0.5325400772440557,0.44966666666666666
31.0,berlin,analytics engineer,medior,english,101-1000,startup,68427.72999154928,2020,de,6,sql,python,full-time employee,2,,,,,it,1.4667380445319547,Data Analyst,-0.3262066696537869,0.2997777777777771
