seniority_level,level_1,age,city,job_title,language_at_work,company_size,company_type,salary,year,country,experience,skills,skills_2,employment_status,years_of_experience_in_germany,job_title_2,your_seniority_level,skills_3,company_industry,survey,city_category,language_category,company_size_category,industry_category,country_code,median_income_2020_usd,mean_income_2020_usd,gdp_ppp_usd,glassdoor_software_engineer_usd,salary_normmed,salary_normmean,salary_normgdp,salary_normse,salary_norm,salary_2024,salary_norm_2024,salary_normmed_2024,salary_normmean_2024,salary_normgdp_2024,salary_normse_2024,job_category,salary_log,salary_2024_log,salary_norm_log,salary_norm_2024_log,salary_normmed_2024_log,salary_normmean_2024_log,salary_normgdp_2024_log,salary_normse_2024_log,z_score,modif_z_score,modif_z_score_signed
senior,609,33.0,berlin,data engineer,english,101-1000,startup,102641.59498732389,2020,de,13.0,python,"python, java / scala, sql, aws, kubernetes, docker",full-time employee,3.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,6.09329741687883,5.202310947152757,1.4803079838951785,1.2317188473494443,2.106894820849475,121369.71178995259,2.491321546687041,7.205088262983235,6.151531261528262,1.7504068734309122,1.4564598448369486,Data Engineer,11.538998538795862,11.706596635457664,0.7452152146626658,0.9128133113244677,1.974787479617012,1.8167010364410041,0.5598482600150732,0.37600872740939273,0.24950637413725907,0.7208906265140186,0.7208906265140186
senior,610,38.0,munich,software engineer,english,11-50,product,165367.01414624404,2020,de,15.0,java,"java / scala, kubernetes, docker",full-time employee,2.0,,,,,it,munich,English-speaking (but not german),s,other,de,16845,19730,69338,83332.0,9.816979171638115,8.381500970412775,2.3849406407200098,1.98443592072966,3.3944416558130435,195540.09121714585,4.013795825218011,11.608197757028545,9.910800365795533,2.820099962749803,2.3465186389039725,Software Engineer,12.015922610886172,12.183520707547974,1.2221392867529752,1.3897373834147773,2.451711551707321,2.2936251085313133,1.0367723321053823,0.8529327994997019,1.1609647500359013,2.929961446782265,2.929961446782265
senior,612,49.0,munich,software engineer,german,101-1000,consulting / agency,65006.3434919718,2020,de,27.0,java,"javascript / typescript, java / scala, sql, docker, groovy",full-time employee,19.0,,,,,it,munich,German-speaking,m,other,de,16845,19730,69338,83332.0,3.859088364023259,3.294796933196746,0.9375283898002797,0.7800886033213147,1.3343667198713345,76867.48413363665,1.5778369795684597,4.563222566556049,3.895969798967899,1.1085910198395779,0.922424568396734,Software Engineer,11.082240136300149,11.24983823296195,0.28845681216695107,0.456054908828753,1.518029077121297,1.3599426339452891,0.10308985751935834,-0.08074967508632228,-0.6234130192834405,1.3947745661511965,-1.3947745661511965
senior,615,31.0,frankfurt,data scientist,english,51-100,consulting / agency,85534.66248943658,2020,de,6.0,python,"python, aws, docker",full-time employee,6.0,,,,,it,frankfurt,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.077747847399025,4.335259122627297,1.2335899865793156,1.0264323727912037,1.7557456840412295,101141.42649162718,2.076101288905868,6.004240219152696,5.1262760512735515,1.4586723945257605,1.2137165373641239,Data Scientist/ ML Engineer,11.35667698200191,11.524275078663711,0.5628936578687114,0.7304917545305133,1.7924659228230573,1.6343794796470494,0.3775267032211187,0.19368717061543814,-0.09893171018586315,0.12360696668597243,-0.12360696668597243
senior,616,31.0,paris,mobile developer,english,101-1000,product,75270.50299070419,2020,de,8.0,swift,swift,full-time employee,0.0,,,,,it,other,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,4.468418105711142,3.815028027912022,1.0855591881897977,0.9032604880562591,1.545056201956282,89004.45531263191,1.8269691342371637,5.2837313928543725,4.511122925120725,1.283631707182669,1.0680705528804288,Mobile,11.228843610492024,11.396441707153826,0.4350602863588264,0.6026583830206284,1.6646325513131723,1.5065461081371647,0.2496933317112337,0.06585379910555308,-0.34323642030748713,0.7157200248952125,-0.7157200248952125
senior,623,38.0,dublin ,mobile developer,english,101-1000,product,96939.28415469479,2020,de,16.0,swift,"swift, java / scala",full-time employee,0.0,,,,,it,other,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,5.754780893718896,4.913293672310937,1.3980686514565577,1.1632900224966973,1.9898451085800601,114626.95002384413,2.352914794093317,6.80480558170639,5.809779524776691,1.6531620471291952,1.3755454090126735,Mobile,11.481840124955914,11.649438221617716,0.6880568008227174,0.8556548974845193,1.9176290657770634,1.7595426226010555,0.5026898461751248,0.318850313569444,0.14026987697500862,0.4561378251021883,0.4561378251021883
senior,625,30.0,stockholm,backend developer,english,1000+,product,84394.20032291075,2020,de,7.0,c++,"python, c/c++, java / scala, aws, kubernetes, docker",full-time employee,2.5,,,,,it,other,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,5.010044542767038,4.277455667658933,1.2171421200915913,1.0127466078206542,1.7323357415873464,99792.87413840546,2.048419938387123,5.924183682897327,5.057925703923237,1.439223429265417,1.1975336501992688,Back End,11.343253961669769,11.51085205833157,0.5494706375365705,0.7170687341983726,1.7790429024909167,1.6209564593149088,0.364103682888978,0.1802641502832974,-0.12458469150417796,0.18578122936396171,-0.18578122936396171
senior,629,37.0,berlin,mobile developer,english,101-1000,product,74130.04082417836,2020,de,16.0,ios,"kotlin, c/c++, swift, ruby",full-time employee,2.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,4.400714801079155,3.7572245729436573,1.0691113217020733,0.8895747230857097,1.5216462595023987,87655.9029594102,1.7992877837184187,5.203674856599003,4.442772577770411,1.2641827419223255,1.051887665715574,Mobile,11.213576138361235,11.381174235023037,0.4197928142280379,0.5873909108898399,1.6493650791823837,1.4912786360063761,0.23442585958044518,0.050586326974764804,-0.3724143674205683,0.7864376278787694,-0.7864376278787694
senior,633,30.0,berlin,software engineer,english,1000+,product,98079.7463212206,2020,de,7.0,java,"go, aws, kubernetes",full-time employee,1.0,,,,,it,berlin,English-speaking (but not german),l,other,de,16845,19730,69338,83332.0,5.822484198350882,4.971097127279301,1.4145165179442818,1.1769757874672468,2.0132550510339433,115975.50237706582,2.380596144612062,6.884862117961758,5.878129872127006,1.6726110123895386,1.3917282961775288,Software Engineer,11.493536164719107,11.661134261380909,0.6997528405859087,0.8673509372477106,1.9293251055402545,1.7712386623642469,0.5143858859383159,0.3305463533326355,0.16262239392866212,0.5103128639932218,0.5103128639932218
senior,634,30.0,berlin,software engineer,english,51-100,product,68427.72999154926,2020,de,8.0,js,,full-time employee,2.0,,,,,it,berlin,English-speaking (but not german),m,other,de,16845,19730,69338,83332.0,4.0621982779192205,3.468207298101838,0.9868719892634524,0.8211458982329629,1.4045965472329835,80913.14119330174,1.6608810311246942,4.803392175322157,4.101020841018841,1.1669379156206083,0.9709732298912991,Software Engineer,11.133533430687699,11.3011315273495,0.3397501065545015,0.5073482032163035,1.5693223715088476,1.4112359283328397,0.15438315190690893,-0.029456380698771635,-0.5253854599026361,1.1571884879095622,-1.1571884879095622
