City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,Software Engineer,,10,10,Senior,,Python,"PHP,Javascript / Typescript,NodeJS,SQL,SAP / ABAP,Docker",0,"English,German",,,up to 10,60000,60000,48000,27,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,15,6,Senior,,JavaScript / Typescript,React,2,English,,,1000+,78500,100000,65000,unlimited,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,ML Engineer,,4,4,Middle,,Python,"Google Cloud,Kubernetes,Terraform,Docker",1,English,,,101-1000,80000,90000,70000,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Other,Senior Embedded System Engineer,7,2,Senior,,C / C++,"Java / Scala,Python,C / C++",0,English,,,up to 10,68000,71500,,30,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,20,5,Lead / Staff,,Python,"Python,Javascript / Typescript,Go,Docker,SQL",5,"English,German,Russian",,,11-50,74400,11000,6000,28,,,,,,,No,over 1000 euros
Dresden,,Full-time employee,,Data Scientist,,4,0,Middle,,Python,,0,English,,,51-100,60000,60000,,30,,,,,,,No,No
Augsburg,,Full-time employee,,Software Engineer,,10,5,Senior,,JavaScript / Typescript,"Angular,Java / Scala, React,NodeJS,AWS",3,"German,English",,,1000+,72000,80000,70000,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Data Scientist,,4,1,Middle,,Python,"AWS,Kubernetes,Docker,Other",1,"English,German",,,101-1000,75000,0,0,28,,,,,,,No,No
Stuttgart,,Full-time employee,,Data Scientist,,3,1,Senior,,Python,"SQL,Docker",0,English,,,101-1000,72000,78000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,7,4,Senior,,Other,,2,English,Product Manager,,51-100,85000,85000,80000,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,10,8,Lead / Staff,,SQL,,2,English,,,51-100,70000,70000,66000,23,,,,,,No,Yes,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,4,0,Senior,,Rust,"C / C++,Docker",0,"English,Russian",,,11-50,60000,60000,,20,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Other,Saarbrücken,Full-time employee,,Other,Research assistant,0,0,Junior,,C / C++,Docker,2,English,,,51-100,38000,38000,,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,12,7,Senior,,Go,PHP,7,English,,,1000+,85000,85000,80000,30,,,,,,,No,No
Karlsruhe,,Full-time employee,,Backend Developer,,23,9,Senior,,Java,"SQL,Docker",9,"English,German",,,11-50,60000,60000,53000,30,,,,,,No,Yes,No
Hamburg,,Self-employed (freelancer),,Software Engineer,,13,9,Senior,,Java,"Javascript / Typescript,Python,AWS,Terraform,Docker,Other",15,"English,German",,,101-1000,,,,,87,1650,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,5,5,Middle,,Python,"Javascript / Typescript,Go,Perl,AWS,Docker",2,English,,,101-1000,60000,85000,60000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,ML Engineer,,10,5,Senior,,Python,"AWS,Python",5,English,,,1000+,126000,126000,105000,30,,,,,,,No,up to 100 euro
Munich,,Full-time employee,,Head / Principal / VP,,20,20,Head / Principal,,Java,"Python,Javascript / Typescript,NodeJS,R,SQL,Perl,Docker,Kubernetes",2,"English,German",,,101-1000,120000,120000,108000,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,4,1,Middle,,JavaScript / Typescript,"Java / Scala, React,NodeJS,AWS",1,English,,,101-1000,83000,87150,66000,30,,,,,,,No,No
Stuttgart,,Full-time employee,,ML Engineer,,1,1,Junior,,Python,Other,1,English,,,1000+,62500,62500,,30,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,100 - 500
Berlin,,Full-time employee,,Software / Solutions Architect,,12,6,Head / Principal,,PHP,"AWS,Docker,Terraform,PHP,Javascript / Typescript,Angular, React",5,"English,German,Russian",,,101-1000,116000,130000,110000,Unlimited,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,9,4,Senior,,Other,"Python,Terraform,Docker,Kubernetes,Google Cloud,Rust,Go",1,"English,Russian",,,51-100,105000,105000,78000,28,,,,,,,No,No
Munich,,Full-time employee,,Software / Solutions Architect,,8,0,Senior,,C# / .NET,,6,"English,Russian",,,101-1000,65000,70000,,30,,,,,,No,Yes,up to 100 euro
Munich,,Full-time employee,,Engineering Manager,,25,5,Lead / Staff,,Swift,Javascript / Typescript,5,English,,,11-50,90000,4000,82000,30,,,,,,,No,No
Aachen,,Full-time employee,,Software / Solutions Architect,,10,6,Senior,,Python,Azure,0,"English,German",,,1000+,74000,80000,74000,30,,,,,,,No,No
Munich,,Full-time employee,,DevOps,,15,5,Senior,,Other,Other,2,"English,Russian",,,1000+,112000,125000,,30,,,,,,,No,500 - 1000
Munich,,Full-time employee,,Software / Solutions Architect,,17,2,Lead / Staff,,C# / .NET,"C# / .NET core,SQL,Azure",1,"English,German",,,1000+,107900,118500,118500,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Data Scientist,,1,1,Junior,,Python,"SQL,Azure",0,German,,,1000+,63000,70000,56000,30,,,,,,,No,No
Munich,,Full-time employee,,Head / Principal / VP,,15,1,Head / Principal,,C# / .NET,Javascript / Typescript,15,"English,Russian",,,101-1000,120000,125000,,35,,,,,,,No,No
Munich,,Full-time employee,,Product Manager,,10,1,Middle,,Other,,2,"English,Russian",,,101-1000,75000,75000,,25,,,,,,,No,No
Augsburg,,Full-time employee,,Software / Solutions Architect,,12,1,Head / Principal,,NodeJS,"Javascript / Typescript,NodeJS,AWS,Kubernetes,Terraform,Docker,Other,Go",8,"English,Russian",,,1000+,148000,195000,155000,30,,,,,,No,Yes,No
Munich,,Full-time employee,,Software / Solutions Architect,,14,11,Middle,,Other,"Azure,Kubernetes,Terraform,Docker",2,"English,German,Russian",Azure,,1000+,125000,140000,140000,30,,,,,,,No,No
Munich,,Full-time employee,,Tech Lead / Team Lead,,8,1,Lead / Staff,,C# / .NET,"Javascript / Typescript,Python",1,English,,,51-100,92000,103000,,20,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,6,4,Senior,,PHP,"PHP,Javascript / Typescript,Terraform,AWS",1,English,,,101-1000,78000,78000,73000,29,,,,,,,No,No
Rosenheim,,Full-time employee,,Software Engineer,,10,3,Middle,,C / C++,Java / Scala,3,English,,,1000+,100000,140000,130000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,1,1,Junior,,Java,,1,English,,,1000+,72000,85000,,28,,,,,,No,Yes,No
Munich,,Full-time employee,,Software Engineer,,10,4,Senior,,C# / .NET,"Javascript / Typescript, React",4,English,,,1000+,72000,4000,,30,,,,,,,No,No
Munich,,Full-time employee,,Other,Technical Program Manager,8,0,Lead / Staff,,Python,"Python,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",3,"English,Russian",,,101-1000,130000,130000,35000,Unlimited,,,,,,No,Yes,No
Munich,,Full-time employee,,Product Manager,,11,2,Senior,,SQL,Other,2,English,,,1000+,80000,88000,75000,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,8,0,Middle,,Go,"Python,R,SQL",6,"English,Russian",,,1000+,94500,94500,,30,,,,,,,No,100 - 500
Stuttgart,,Full-time employee,,Software Engineer,,4,4,Middle,,Java,Docker,0,"English,German",,,1000+,73000,75000,57000,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,15,5,Senior,,PHP,"Javascript / Typescript,Docker",3,"English,Russian",,,101-1000,71500,71500,,28,,,,,,,No,No
Darmstadt,,Full-time employee,,BI Developer / Data Engineer,,1,1,Middle,,SQL,,1,"English,Russian",,,11-50,60000,64000,,27,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software Engineer,,10,7,Middle,,Python,"Python,SQL,Docker",3,"English,German",,,1000+,60000,70000,68000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Engineering Manager,,11,7,Lead / Staff,,Java,"Kotlin,NodeJS,Angular,SQL,Azure,Kubernetes,Docker",3,English,,,51-100,98000,98000,80000,30,,,,,,,No,No
Munich,,Full-time employee,,Other,Cybersecurity auditor,4,1,Junior,,Other,,0,English,Cybersecurity,,1000+,68000,78000,,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Head / Principal / VP,,15,5,Head / Principal,,Other,Other,0,English,,,101-1000,95000,95000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software / Solutions Architect,,8,8,Senior,,Java,"Java / Scala,Javascript / Typescript,NodeJS,Go,SQL,Google Cloud,Kubernetes,Terraform",3,"English,German,Russian",,,1000+,68000,75000,72000,30,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,Product Manager,,7,5,Senior,,Other,Other,1,English,,,101-1000,75000,75000,65000,25,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,100 - 500
Munich,,Full-time employee,,Software Engineer,,10,4,Senior,,Swift,"Python,Kotlin,Javascript / Typescript,Docker",0,"English,German",,,1000+,80000,85000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Other,Data Journalist,4,4,Senior,,Python,"Javascript / Typescript,R,SQL,Kubernetes,Google Cloud",0,German,,,101-1000,77000,77000,50000,unlimited,,,,,,,No,over 1000 euros
Munich,,Full-time employee,,Software Engineer,,21,9,Middle,,Java,SQL,6,"German,Russian",,,1000+,53000,56000,54000,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,BI Developer / Data Engineer,,15,7,Lead / Staff,,SQL,"Python,Docker,Terraform,AWS",0,English,,,1000+,120000,120000,100000,30,,,,,,No,Yes,No
Munich,,Full-time employee,,Designer (UI/UX),,2,1,Junior,,Other,Other,0,"English,German",,,101-1000,42000,0,,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Frontend Developer,,5,0,Middle,,JavaScript / Typescript," React,NodeJS,Google Cloud,Docker",0,English,,,1000+,74000,74000,,30,,,,,,,No,No
Munich,,Full-time employee,,Other,Technical writer,10,0,Senior,,Go,"Java / Scala,SQL,Other",0,"English,Russian",,,1000+,76000,10000,,30,,,,,,No,Yes,over 1000 euros
Berlin,,Full-time employee,,Data Scientist,,2,2,Middle,,Python,"SQL,AWS,Kubernetes",2,English,,,51-100,57000,60000,54000,30,,,,,,No,Yes,100 - 500
Munich,,Full-time employee,,Other,IT Consultant,2,2,Junior,,Other,"Javascript / Typescript,Other",0,German,,,101-1000,55000,55000,,30,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Engineering Manager,,13,4,Senior,,JavaScript / Typescript," React,NodeJS,Javascript / Typescript",4,English,,,101-1000,85000,85000,,29,,,,,,,No,100 - 500
Berlin,,Full-time employee,,BI Developer / Data Engineer,,5,5,Senior,,SQL,"Docker,Python",1,English,,,11-50,79000,83000,70000,22,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,4,2,Middle,,Python,"Python,SQL,AWS,Kubernetes,Terraform,Docker",1,English,,,101-1000,65000,65000,60000,30,,,,,,No,Yes,No
Frankfurt,,Full-time employee,,Head / Principal / VP,,31,31,Head / Principal,,Other,,2,"English,German",,,51-100,90000,5000,85000,30,,,,,,No,Yes,No
Munich,,Full-time employee,,Backend Developer,,3,0,Middle,,Java,,0,English,,,1000+,67000,0,,28,,,,,,,No,No
Berlin,,Full-time employee,,Tech Lead / Team Lead,,15,1,Lead / Staff,,C# / .NET,"C# / .NET core,Javascript / Typescript,.NET,SQL,Google Cloud,Kubernetes,Terraform,Docker",1,English,,,51-100,78000,78000,75000,26,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,6,6,Middle,,Python,"Docker,AWS,Rust,SQL,Go",1,English,,,1000+,87600,140000,127000,28,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,Product Manager,,5,3,Senior,,Other,,5,"English,Russian",,,101-1000,67000,2000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Mobile Developer,,5,0,Senior,,Kotlin,,0,"English,Russian",,,101-1000,75000,80000,,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,4,0,Middle,,Kotlin,"Java / Scala,Kotlin,SQL",0,English,,,101-1000,70000,70000,,28,,,,,,No,Yes,No
Berlin,,Full-time employee,,Data Scientist,,4,0,Middle,,SQL,Python,0,English,,,101-1000,73000,74000,,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,10,3,Senior,,Java,"Java / Scala,Kotlin,AWS,Kubernetes,Docker,Terraform",1,English,,,1000+,108600,108600,86000,28,,,,,,,No,over 1000 euros
Other,,Full-time employee,,BI Developer / Data Engineer,,3,3,Middle,,Python,,1,"German,English",,,11-50,140000,140000,,,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,1,1,Junior,,Python,"SQL,AWS",0,English,,,11-50,45000,52000,,24,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,17,4,Senior,,Java,Other,4,English,,,1000+,100000,210000,144000,30,,,,,,,No,100 - 500
Frankfurt,,Full-time employee,,Backend Developer,,8,3,Lead / Staff,,Python,"Python,SQL,Azure,Kubernetes,Docker",1,English,,,11-50,90000,99000,70000,28,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,ML Engineer,,12,4,Senior,,Python,"Docker,Terraform,Kubernetes,AWS,SQL,Other",1,English,,,1000+,95000,95000,85000,27,,,,,,,No,100 - 500
Hamburg,,Full-time employee,,Tech Lead / Team Lead,,12,12,Other,,C# / .NET,"Python,Javascript / Typescript,Azure",1,"German,English",,,101-1000,75000,85000,,30,,,,,,,No,No
Berlin,,Full-time employee,,Head / Principal / VP,,20,20,Head / Principal,,Bash,"Other,Python",4,"English,German",,,101-1000,145000,185000,175000,26,,,,,,No,Yes,No
Berlin,,Full-time employee,,Software Engineer,,6,4,Senior,,Kotlin,"Java / Scala,Javascript / Typescript",4,English,,,1000+,83000,84000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,8,8,Senior,,Other,,0,"English,German",,,101-1000,83000,91000,70000,28,,,,,,,No,No
Berlin,,Full-time employee,,Frontend Developer,,8,15,Senior,,JavaScript / Typescript," React,NodeJS,Docker",15,"English,Russian",,,11-50,82000,82000,62000,Unlimited,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,DevOps,,10,8,Senior,,Python,"Kubernetes,Terraform,Docker,AWS,Other",2,English,,,101-1000,93000,0,89000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,DevOps,,17,6,Lead / Staff,,Other,"Go,Google Cloud,Kubernetes,Terraform,Docker",4,"English,Russian",,,101-1000,105000,105000,92000,unlimited,,,,,,,No,up to 100 euro
Frankfurt,,Full-time employee,,Other,SAP Consultant,5,5,Senior,,SAP / ABAP,,3,"German,English,Russian",,,1000+,72000,75600,69000,30,,,,,,,No,No
Munich,,Full-time employee,,Other,Technical Writer,4,2,Senior,,Other,,1,"English,German,Russian",-,,101-1000,66000,66000,60000,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,4,4,Middle,,C / C++,C / C++,1,German,,,101-1000,70000,70000,,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,15,0,Middle,,C / C++,"C / C++,Python,Other",0,English,,,1000+,99000,150000,,30,,,,,,,No,No
Munich,,Full-time employee,,Frontend Developer,,8,2,Senior,,JavaScript / Typescript,"Javascript / Typescript,Python,NodeJS, React,AWS,Docker",1,English,,,101-1000,95000,95000,95000,25,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Backend Developer,,6,1,Senior,,Go,"SQL,Docker",1,English,,,11-50,60000,66000,,25,,,,,,No,Yes,No
Frankfurt,,Full-time employee,,DevOps,,20,4,Senior,,Bash,"Docker,Terraform,Kubernetes,Google Cloud,Go",1,"English,Russian",,,1000+,82000,92000,75000,30,,,,,,,No,No
Berlin,,Self-employed (freelancer),,ML Engineer,,5,5,Senior,,Python,"SQL,AWS,Docker,Terraform",0,"English,German",,,up to 10,,,,,100,1200,65,50,,,No,No
Munich,,Full-time employee,,Designer (UI/UX),,7,4,Middle,,Other,,1,English,,,101-1000,60000,65000,47000,30,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Data Scientist,,10,10,Senior,,Python,SQL,2,"German,English,Russian",,,1000+,80600,90000,87778,30,,,,,,,No,100 - 500
Frankfurt,,Full-time employee,,Software Engineer,,9,1,Senior,,JavaScript / Typescript,"Angular,SQL",1,English,,,51-100,70000,74000,,30,,,,,,,No,No
Munich,,Full-time employee,,Other,QA Manager,15,7,Lead / Staff,,Other,,,"English,German,Russian",,,51-100,80000,80000,75000,30,,,,,,,No,No
Berlin,,Full-time employee,,Other,Analyst,5,4,Senior,,SQL,Python,0,English,,,1000+,65000,67000,67000,30,,,,,,No,Yes,500 - 1000
Munich,,Full-time employee,,Tech Lead / Team Lead,,20,5,Lead / Staff,,Other,"SQL,Other",11,"English,German",,,1000+,110000,112000,105000,30,,,,,,,No,No
Berlin,,Full-time employee,,Product Manager,,10,3,Senior,,Other,,1,English,,,101-1000,75000,75000,70000,28,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Software Engineer,,11,5,Senior,,Java,"SQL,Google Cloud,Kubernetes,Terraform,Docker",2,English,,,1000+,112000,150000,160000,unlimited,,,,,,No,Yes,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,10,7,Senior,,Java,"Python,SQL,Terraform,Docker,Kubernetes,Google Cloud",0,English,,,1000+,105600,25000,65000,25,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Software Engineer,,5,0,Middle,,Java,"Java / Scala,Kotlin,SQL,Kubernetes,Docker",0,English,,,1000+,70000,0,,28,,,,,,,No,500 - 1000
Berlin,,Full-time employee,,DevOps,,1,0,Junior,,Bash,"Kubernetes,Terraform,AWS",0,"English,German",,,1000+,52000,0,,30,,,,,,,No,No
Munich,,Full-time employee,,BI Developer / Data Engineer,,14,2,Lead / Staff,,SQL,"Python,C# / .NET core,Kubernetes,AWS,Azure,Terraform,Docker,SQL",2,"English,German,Russian",,,101-1000,85000,85000,85000,28,,,,,,,No,No
Other,,Full-time employee,,Software Engineer,,20,3,Senior,,Python,"Python,C / C++,SQL,Go",0,English,,,1000+,127000,190000,70000,32,,,,,,No,Yes,over 1000 euros
Munich,,Full-time employee,,DevOps,,12,6,Head / Principal,,Other,"Kubernetes,Terraform,Docker",2,English,AWS,,101-1000,122000,122000,105000,30,,,,,,,No,No
Regensburg,,Full-time employee,,Software / Solutions Architect,,13,13,Lead / Staff,,C# / .NET,"Javascript / Typescript,C# / .NET core,SQL",9,German,,,101-1000,78000,88000,72000,30,,,,,,,No,No
Munich,,Full-time employee,,QA Engineer,,5,0,Senior,,Java,SQL,0,"English,Russian",,,1000+,65000,70000,,28,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,8,1,Senior,,Java,"Kotlin,Javascript / Typescript,SQL",0,"English,German,Russian",,,1000+,75000,80000,,,,,,,,,No,over 1000 euros
Nuremberg,,Full-time employee,,Backend Developer,,10,7,Middle,,JavaScript / Typescript,"NodeJS,AWS,Docker,Kubernetes",0,English,,,51-100,60000,68000,,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Frontend Developer,,5,3,Senior,,JavaScript / Typescript,React,1,English,,,101-1000,75000,80000,,,,,,,,,No,No
Munich,,Full-time employee,,Backend Developer,,17,6,Senior,,C / C++,"SQL,Docker",2,English,,,101-1000,85000,88000,73000,29,,,,,,,No,No
Hamburg,,Full-time employee,,Software Engineer,,4,4,Middle,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,AWS,Terraform,Kubernetes,Docker",1,"German,English",,,101-1000,65500,68750,61000,unlimited,,,,,,No,Yes,No
Munich,,Self-employed (freelancer),,BI Developer / Data Engineer,,14,6,Senior,,SQL,"Azure,Google Cloud,AWS",0,"English,German",,,1000+,,,,,105,1800,12,0,,,No,No
Berlin,,Full-time employee,,Engineering Manager,,12,8,Lead / Staff,,Java,"Python,Kotlin,Docker,AWS",4,English,,,1000+,100000,100000,90000,30,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,6,0,Middle,,Python,"Go,Docker",0,English,,,101-1000,65000,65000,,28,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,4,8,Middle,,Other,"Kubernetes,Docker,Google Cloud,Rust",0,English,Elixir/Rust,,1000+,80000,90000,72000,31,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,7,7,Lead / Staff,,Python,"Google Cloud,Terraform,Kubernetes,Docker",3,English,,,101-1000,80000,80000,75000,30,,,,,,"Yes, I am satisfied with a severance package",Yes,500 - 1000
Other,Kuala Lumpur,Full-time employee,,BI Developer / Data Engineer,,5,0,Middle,,Python,"SQL,Azure,Docker",1,English,,,101-1000,1142,13702,,16,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,6,0,Senior,,Other,"Python,AWS,Azure,Kubernetes,Terraform,Docker",0,"English,Russian",Kubernetes,,1000+,80000,90000,,24,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Data Scientist,,6,2,Lead / Staff,,Python,"Kubernetes,Docker",2,English,,,1000+,106,106,106,30,,,,,,,No,No
Munich,,Full-time employee,,Data Scientist,,6,3,Senior,,Python,"R,SQL",3,"Russian,English",,,51-100,75000,75000,69000,30,,,,,,,No,No
Munich,,Full-time employee,,Backend Developer,,5,0,Middle,,SAP / ABAP,SQL,0,"Russian,German,English",,,101-1000,60000,60000,,30,,,,,,,No,No
Augsburg,,Full-time employee,,Network / Security Engineer / System Administrator,,11,5,Senior,,Other,Azure,1,English,"Network, security (Palo Alto, Aruba EdgeConnect)",,1000+,92000,97000,77000,30,,,,,,No,Yes,No
Berlin,,Full-time employee,,Backend Developer,,6,6,Middle,,Go,"Docker,Terraform,AWS,SQL",1,English,,,1000+,98000,120000,112000,25,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Backend Developer,,12,2,Middle,,Java,"Kubernetes,Docker,Other,Java / Scala",2,"English,Russian",,,1000+,100000,140000,130000,32,,,,,,,No,100 - 500
Berlin,,Full-time employee,,Other,Data Analyst,7,6,Middle,,SQL,Python,0,English,,,1000+,61000,65000,,27,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,4,4,Middle,,C / C++,Python,2,"German,English",,,101-1000,61500,70000,,30,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Mobile Developer,,6,2,Senior,,Swift,,0,English,,,101-1000,74000,85000,57000,28,,,,,,,No,No
Munich,,Full-time employee,,Backend Developer,,30,8,Senior,,C# / .NET,"C / C++,.NET,SQL,AWS",0,"English,German,Russian",,,101-1000,90000,90000,78000,30,,,,,,,No,No
Munich,,Full-time employee,,Other,Principal engineer,12,1,Head / Principal,,C / C++,"Python,Other",1,English,,,51-100,100000,10000,,30,,,,,,,No,No
Munich,,Full-time employee,,QA Engineer,,1,1,Junior,,Java,Java / Scala,0,German,,,101-1000,46000,46000,,30,,,,,,,Yes,100 - 500
Berlin,,Full-time employee,,ML Engineer,,7,7,Lead / Staff,,Python,"AWS,Docker,Other,SQL",5,English,,,1000+,78000,78000,78000,30,,,,,,"Yes, I am satisfied with a severance package",Yes,No
Munich,,Full-time employee,,Backend Developer,,10,5,Middle,,Java,"Javascript / Typescript,SQL,AWS",3,English,,,1000+,90000,100000,90000,27,,,,,,No,Yes,No
Munich,,Full-time employee,,Frontend Developer,,7,6,Senior,,JavaScript / Typescript,"Other,Ruby",1,English,,,1000+,118000,140000,105000,unlimited,,,,,,,No,over 1000 euros
Berlin,,Full-time employee,,Data Scientist,,7,4,Middle,,Python,SQL,0,English,,,1000+,75000,75000,71000,24,,,,,,,No,100 - 500
Nuremberg,,Full-time employee,,QA Engineer,,4,0,Middle,,Java,"Docker,Other",0,German,,,1000+,56450,56450,,28,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,19,5,Senior,,Java,,5,English,,,101-1000,81500,92500,85000,28,,,,,,,No,No
Berlin,,Full-time employee,,Head / Principal / VP,,5,5,Head / Principal,,Python,,0,"English,German",,,up to 10,85000,35000,95000,30,,,,,,"Yes, I am NOT satisfied with a severance package",Yes,No
Berlin,,Full-time employee,,Data Scientist,,3,3,Middle,,Python,"SQL,AWS,Google Cloud",0,"German,English",,,1000+,50000,55000,52000,30,,,,,,,No,No
Cologne,,Full-time employee,,Software Engineer,,14,2,Senior,,C / C++,SQL,2,English,,,1000+,82000,82000,77500,30,,,,,,,No,No
Bonn,,Full-time employee,,Tech Lead / Team Lead,,14,6,Senior,,Scala,"Python,Google Cloud,Kubernetes,Terraform,Docker",,English,,,1000+,80000,100000,87000,30,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,13,1,Senior,,PHP,"Docker,Go,PHP",1,English,,,101-1000,78000,78000,,28,,,,,,,No,No
Karlsruhe,,Full-time employee,,DevOps,,2,2,Junior,,Other,"Azure,Kubernetes,Terraform,Docker",0,German,,,101-1000,67000,67000,67000,30,,,,,,,No,No
Munich,,Full-time employee,,Software Engineer,,6,1,Senior,,Swift,"Swift,Other,Java / Scala",1,"English,Russian",,,101-1000,81000,81000,65000,22,,,,,,,No,No
Munich,,Full-time employee,,Scrum Master / Agile Coach,,9,4,Middle,,Java,,2,English,,,51-100,65000,65000,60000,30,,,,,,,No,No
Berlin,,Full-time employee,,Designer (UI/UX),,20,4,Lead / Staff,,Other,"Python,Swift, React,Angular,Javascript / Typescript,NodeJS,Ruby,SQL,Perl,SAP / ABAP,AWS",1,English,,,51-100,75000,75000,65000,25,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,11,3,Senior,,C# / .NET,"Javascript / Typescript, React,.NET,Azure,Terraform,Docker",0,English,,,11-50,110000,110000,110000,30,,,,,,,No,No
Munich,,Full-time employee,,Software / Solutions Architect,,10,3,Senior,,Other,Other,0,English,Business Applications,,101-1000,100000,125000,82000,30,,,,,,,No,No
Dusseldorf,,Full-time employee,,Head / Principal / VP,,14,6,Head / Principal,,PHP,SQL,1,"English,German,Russian",,,101-1000,85000,95000,80000,25,,,,,,No,Yes,over 1000 euros
Other,remote,Full-time employee,,Frontend Developer,,15,0,Senior,,JavaScript / Typescript,"Javascript / Typescript,Angular, React,NodeJS,Google Cloud,Docker,Python",0,English,,,1000+,75000,75000,,29,,,,,,,No,No
Other,Lübeck,Full-time employee,,Software Engineer,,8,3,Middle,,C# / .NET,"C# / .NET core,Javascript / Typescript,Angular,.NET,Other",3,German,,,101-1000,58000,60000,58000,27,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,3,3,Middle,,PHP," React,Javascript / Typescript,SQL,Docker",0,English,,,101-1000,62000,62000,48000,27,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,7,1,Senior,,Scala,"Python,SQL,AWS",1,English,,,1000+,80000,80000,77000,27,,,,,,,No,over 1000 euros
Munich,,Full-time employee,,Software Engineer,,10,3,Junior,,Other,"Python,C / C++,SQL,Go,Other",3,"English,Russian",,,1000+,78500,107000,106000,30,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,6,1,Senior,,Python,SQL,1,English,,,1000+,62000,0,0,25,,,,,,,No,No
