City,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Your main technology,Just a few more general questions,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company layoffs,Work From Home allowance
Berlin,,Full-time employee,,Data Scientist,,5,4,Senior,,Python,"AWS,SQL,Kubernetes,Docker",4,English,,,1000+,91000,91000,78000,30,,,,,,,No,500 - 1000
Frankfurt,,Full-time employee,,QA Engineer,,12,4,Senior,,Other,,0,English,,,101-1000,72000,77000,65000,30,,,,,,,No,No
Munich,,Full-time employee,,Product Manager,,3,1,Middle,,Python,"AWS,Terraform,Kubernetes",1,"English,German",,,51-100,75000,75000,,29,,,,,,,No,No
Munich,,Full-time employee,,Mobile Developer,,7,3,Senior,,Swift,,1,"English,Russian",,,1000+,86000,86000,74000,30,,,,,,,No,No
Berlin,,Full-time employee,,Backend Developer,,5,2,Middle,,Java,,0,English,,,101-1000,77000,85000,65000,30,,,,,,,No,No
Berlin,,Full-time employee,,Software Engineer,,4,2,Middle,,Python,"Python,SQL,Kubernetes,Terraform,Docker,AWS,Google Cloud",0,English,,,1000+,80000,80000,42000,25,,,,,,No,Yes,No
Berlin,,Full-time employee,,Other,Tech Recruiter,13,6,Lead / Staff,,Other,,0,English,,,1000+,83000,105000,75000,27,,,,,,"Yes, I am satisfied with a severance package",Yes,No
Munich,,Full-time employee,,Software / Solutions Architect,,25,15,Lead / Staff,,Java,"Java / Scala,AWS,Docker,Kubernetes",1,German,,,11-50,95000,95000,95000,30,,,,,,,No,No
Berlin,,Full-time employee,,Data Scientist,,7,0,Senior,,Python,"Python,Google Cloud",0,English,,,1000+,95000,110000,,28,,,,,,No,Yes,100 - 500
Berlin,,Full-time employee,,Backend Developer,,14,2,Senior,,PHP,"Javascript / Typescript,Go",2,"Russian,English",,,1000+,80000,80000,70000,30,,,,,,,No,No
Hamburg,,Full-time employee,,Product Manager,,3,1,Senior,,Other,Azure,0,"English,Russian",Groovy,,1000+,70000,81000,,30,,,,,,,No,No
Berlin,,Full-time employee,,ML Engineer,,2,2,Junior,,Python,"AWS,Docker,Other",1,English,,,1000+,53000,53000,,30,,,,,,No,Yes,No
Berlin,,Self-employed (freelancer),,QA Engineer,,10,5,Senior,,Rust,Docker,0,English,,,1000+,,,,,75,1900,25,0,,,No,over 1000 euros
Berlin,,Full-time employee,,Backend Developer,,10,5,Lead / Staff,,PHP,"Docker,Go",5,English,,,1000+,80000,101000,75000,28,,,,,,,No,No
Berlin,,Full-time employee,,ML Engineer,,5,4,Middle,,Python,"AWS,Kubernetes,Terraform,Docker",0,English,,,1000+,135,220,75,30,,,,,,No,Yes,100 - 500
Munich,,Full-time employee,,Other,HR IT Specialist,7,7,Senior,,Other,,0,"English,German",I am not a coder,,1000+,77000,82000,70500,30,,,,,,,No,No
Heidelberg,,Full-time employee,,Backend Developer,,8,4,Senior,,C# / .NET,"Javascript / Typescript, React",1,"English,Russian",,,1000+,69000,75000,65000,30,,,,,,,No,No
Berlin,,Full-time employee,,DevOps,,18,3,Senior,,Other,"AWS,Kubernetes,Terraform,Docker",2,English,,,1000+,94000,108000,98000,28,,,,,,,No,up to 100 euro
Berlin,,Full-time employee,,Software Engineer,,12,6,Senior,,Kotlin,"Python,AWS,Kubernetes,Terraform,Docker",1,English,,,1000+,96000,130000,96500,30,,,,,,,No,100 - 500
Munich,,Full-time employee,,Software Engineer,,4,4,Middle,,Java,Java / Scala,0,"German,English",,,101-1000,650000,65000,,28,,,,,,,No,No
Berlin,,Full-time employee,,BI Developer / Data Engineer,,10,7,Middle,,Scala,Google Cloud,1,English,,,1000+,88000,100000,89000,30,,,,,,No,Yes,500 - 1000
Berlin,,Full-time employee,,Tech Lead / Team Lead,,14,8,Lead / Staff,,C# / .NET,"C# / .NET core,Angular,.NET,SQL,AWS,Azure,Docker",0,English,,,1000+,74000,77000,,30,,,,,,,No,No
Berlin,,Full-time employee,,ML Engineer,,3,0,Middle,,Python,,0,English,,,11-50,66000,66000,,30,,,,,,No,Yes,No
